gender,race/ethnicity,Parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,completed,72,72,74
female,group C,some college,standard,none,69,90,88
female,group B,master's degree,standard,completed,90,95,93
male,group A,associate's degree,standard,none,47,57,44
male,group C,some college,standard,completed,76,78,75
female,group B,high school,standard,none,58,65,60
male,group D,high school,free/reduced,none,52,54,50
female,group A,associate's degree,standard,completed,84,85,87
male,group B,some college,standard,none,66,70,72
female,group C,master's degree,standard,completed,95,97,98
male,group A,bachelor's degree,standard,none,60,62,59
female,group B,associate's degree,standard,completed,78,80,82
male,group C,high school,standard,none,48,50,45
female,group D,some college,free/reduced,completed,83,88,85
male,group B,master's degree,standard,none,90,92,89
female,group A,bachelor's degree,standard,none,70,75,73
male,group C,associate's degree,standard,completed,65,68,66
female,group D,high school,free/reduced,none,55,60,58
male,group B,some college,standard,completed,77,80,78
female,group C,master's degree,standard,completed,92,95,94
male,group A,bachelor's degree,standard,none,61,63,60
female,group B,associate's degree,standard,completed,79,82,81
male,group D,high school,free/reduced,none,50,52,49
female,group A,some college,standard,completed,85,87,86
male,group C,master's degree,standard,none,88,90,87
female,group B,bachelor's degree,standard,completed,73,76,75
male,group D,high school,free/reduced,none,49,51,48
female,group A,associate's degree,standard,completed,80,83,82
male,group C,some college,standard,none,67,70,66
female,group B,master's degree,standard,completed,94,96,95
